year,metric,language,percent,sample_size,population,source_url,published_at
2018,jetbrains-planned-adoption,Kotlin,13,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-planned-adoption,Python,13,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-planned-adoption,Other,8,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-planned-adoption,TypeScript,8,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-planned-adoption,Swift,7,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-planned-adoption,C++,6,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-planned-adoption,Rust,6,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-planned-adoption,JavaScript,5,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-planned-adoption,Ruby,5,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-planned-adoption,C,4,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-planned-adoption,C#,4,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-planned-adoption,Java,4,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-planned-adoption,R,4,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-planned-adoption,Scala,4,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-planned-adoption,Elixir,3,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-planned-adoption,PHP,3,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-planned-adoption,SQL and programming extensions over SQL,3,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-planned-adoption,Shell scripting languages (bash/shell/powershell),3,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-planned-adoption,Assembly,2,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-planned-adoption,Clojure / ClojureScript,2,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-planned-adoption,HTML / CSS,2,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-planned-adoption,Haskell,2,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
